Method,PopSize,MutRate,Fitness,Time,Steps,Efficiency
GA_C,80,0.01,14388.58,0.1908,83,75411.84486373166
GA_C,200,0.01,14388.58,0.3572,58,40281.57894736842
GA_C,40,0.05,14388.58,0.3674,250,39163.25530756669
GA_C,120,0.05,14388.58,1.1195,257,12852.684234033051
GA_C,40,0.01,14119.9,1.2825,1000,11009.668615984405
GA_B_1,40,0.01,13913.486666666666,1.3619,10,10216.232224588197
GA_C,40,0.1,14075.77,1.4363,1000,9800.020887001323
GA_B_1,40,0.05,14388.580000000002,1.4914,16,9647.700147512405
GA_C,40,0.2,13490.56,1.5491,1000,8708.643728616616
GA_C,80,0.05,14388.58,1.6284,635,8836.02309014984
GA_B_1,40,0.1,14388.580000000002,1.7429,17,8255.53961787825
GA_B_1,40,0.2,14388.580000000002,2.0018,20,7187.82096113498
GA_B_1,80,0.01,13918.72909090909,2.0003,9,6958.320797334944
GA_B_1,80,0.05,14388.580000000002,2.0015,23,7188.898326255309
GA_B_1,80,0.1,14388.580000000002,2.002,18,7187.102897102899
GA_C,80,0.1,14283.07,2.7349,1000,5222.520019013492
GA_C,80,0.2,13642.98,3.0206,1000,4516.645699529895
GA_B_1,80,0.2,14388.580000000002,2.0013,12,7189.616749113077
GA_B_1,120,0.01,13505.808461538461,2.002,13,6746.158072696535
GA_B_1,120,0.05,14388.580000000002,2.0019,15,7187.461911184376
GA_B_1,120,0.1,14388.580000000002,2.0019,17,7187.461911184376
GA_B_1,120,0.2,14388.580000000002,2.0029,18,7183.87338359379
GA_B_1,200,0.01,14388.580000000002,2.0022,12,7186.384976525822
GA_C,120,0.01,14050.06,3.567,1000,3938.9010372862344
GA_B_1,200,0.05,14388.580000000002,2.0013,13,7189.616749113077
GA_B_1,200,0.1,14388.580000000002,2.0018,12,7187.82096113498
GA_C,200,0.05,14388.58,4.0044,644,3593.1924882629105
GA_B_1,200,0.2,14388.580000000002,2.0024,15,7185.667199360767
GA_C,120,0.1,13792.93,4.1146,1000,3352.192193651874
GA_C,120,0.2,13590.19,4.1497,1000,3274.981323951129
GA_C,200,0.1,13887.95,5.371,1000,2585.7289145410537
GA_C,200,0.2,13414.83,5.7594,1000,2329.206167309095
